range
10000
200000
10000	20000	30000	40000	50000	60000	70000	80000	90000	100000	110000	120000	130000	140000	150000	160000	170000	180000	190000	200000	------------------
Total Memory: 62,914,560
 Free Memory: 60,981,896
 Max Memory: 1,006,632,960
 name                           | 	 shuffle  | 	 elements     | 	 duration_ms  | 	 p_duration_s | 	 p_duration_ns | 	 memory     
  ------------------------------ | 	 -------- | 	 ------------ | 	 ------------ | 	 ------------ | 	 ------------ | 	 ----------|
 selection                      | 	 / 1      | 	 10,000       | 	 146          | 	 0            | 	 144,583,000  | 	 0          
 insertion                      | 	 / 1      | 	 10,000       | 	 130          | 	 0            | 	 129,857,000  | 	 0          
 bubble                         | 	 / 1      | 	 10,000       | 	 266          | 	 0            | 	 265,414,000  | 	 0          
 shell                          | 	 / 1      | 	 10,000       | 	 132          | 	 0            | 	 132,103,000  | 	 0          
 merge sort                     | 	 / 1      | 	 10,000       | 	 8            | 	 0            | 	 8,440,000    | 	 0          
 Arrays.sort                    | 	 / 1      | 	 10,000       | 	 14           | 	 0            | 	 13,378,000   | 	 165,680    
 Arrays.parallelSort            | 	 / 1      | 	 10,000       | 	 20           | 	 0            | 	 19,599,000   | 	 785,712    
 Linked Hashmap                 | 	 / 1      | 	 10,000       | 	 14           | 	 0            | 	 14,164,000   | 	 1,017,848  
 Stream + parallel + sort       | 	 / 1      | 	 10,000       | 	 26           | 	 0            | 	 26,169,000   | 	 165,656    
 selection                      | 	 / 1      | 	 20,000       | 	 376          | 	 0            | 	 375,110,000  | 	 0          
 insertion                      | 	 / 1      | 	 20,000       | 	 407          | 	 0            | 	 407,493,000  | 	 0          
 bubble                         | 	 / 1      | 	 20,000       | 	 1,128        | 	 1            | 	 127,728,000  | 	 0          
