range
10000
200000
10000	20000	30000	40000	50000	60000	70000	80000	90000	100000	110000	120000	130000	140000	150000	160000	170000	180000	190000	200000	------------------
Total Memory: 62,914,560
 Free Memory: 60,981,920
 Max Memory: 1,006,632,960
 name                           | 	 shuffle  | 	 elements     | 	 duration_ms  | 	 p_duration_s | 	 p_duration_ns | 	 memory     
  ------------------------------ | 	 -------- | 	 ------------ | 	 ------------ | 	 ------------ | 	 ------------ | 	 ----------|
 selection                      | 	 / 1      | 	 10,000       | 	 144          | 	 0            | 	 143,104,000  | 	 0          
 insertion                      | 	 / 1      | 	 10,000       | 	 125          | 	 0            | 	 125,407,000  | 	 0          
 bubble                         | 	 / 1      | 	 10,000       | 	 257          | 	 0            | 	 257,460,000  | 	 0          
 shell                          | 	 / 1      | 	 10,000       | 	 129          | 	 0            | 	 129,147,000  | 	 0          
 merge sort                     | 	 / 1      | 	 10,000       | 	 7            | 	 0            | 	 7,218,000    | 	 0          
 Arrays.sort                    | 	 / 1      | 	 10,000       | 	 15           | 	 0            | 	 14,610,000   | 	 165,680    
 Arrays.parallelSort            | 	 / 1      | 	 10,000       | 	 30           | 	 0            | 	 29,968,000   | 	 785,728    
 Linked Hashmap                 | 	 / 1      | 	 10,000       | 	 29           | 	 0            | 	 28,384,000   | 	 1,017,832  
 Stream + parallel + sort       | 	 / 1      | 	 10,000       | 	 36           | 	 0            | 	 35,733,000   | 	 165,656    
 selection                      | 	 / 1      | 	 20,000       | 	 365          | 	 0            | 	 364,626,000  | 	 0          
 insertion                      | 	 / 1      | 	 20,000       | 	 414          | 	 0            | 	 413,815,000  | 	 0          
 bubble                         | 	 / 1      | 	 20,000       | 	 1,102        | 	 1            | 	 102,321,000  | 	 0          
 shell                          | 	 / 1      | 	 20,000       | 	 563          | 	 0            | 	 563,762,000  | 	 0          
 merge sort                     | 	 / 1      | 	 20,000       | 	 10           | 	 0            | 	 9,672,000    | 	 0          
 Arrays.sort                    | 	 / 1      | 	 20,000       | 	 8            | 	 0            | 	 7,728,000    | 	 125,696    
 Arrays.parallelSort            | 	 / 1      | 	 20,000       | 	 10           | 	 0            | 	 9,529,000    | 	 80,016     
 Linked Hashmap                 | 	 / 1      | 	 20,000       | 	 18           | 	 0            | 	 18,715,000   | 	 1,574,912  
 Stream + parallel + sort       | 	 / 1      | 	 20,000       | 	 16           | 	 0            | 	 15,747,000   | 	 1,930,192  
 selection                      | 	 / 1      | 	 30,000       | 	 701          | 	 0            | 	 700,261,000  | 	 0          
 insertion                      | 	 / 1      | 	 30,000       | 	 1,051        | 	 1            | 	 51,071,000   | 	 0          
 bubble                         | 	 / 1      | 	 30,000       | 	 2,660        | 	 2            | 	 659,764,000  | 	 0          
