idx,name,shuffle,elements,duration_ms,p_duration_s,p_duration_ns,memory
0, merge sort                     , 	 / 1      ," 	 10,000       ", 	 90           ,0," 	 88,381,000   ", 	 0          
1, Arrays.sort                    , 	 / 1      ," 	 10,000       ", 	 22           ,0," 	 22,709,000   ", 	 0          
2, Arrays.parallelSort            , 	 / 1      ," 	 10,000       ", 	 25           ,0," 	 25,605,000   "," 	 652,768    "
3, Linked Hashmap                 , 	 / 1      ," 	 10,000       ", 	 18           ,0," 	 18,020,000   "," 	 754,808    "
4, Stream + parallel + sort       , 	 / 1      ," 	 10,000       ", 	 32           ,0," 	 31,941,000   "," 	 165,680    "
5, merge sort                     , 	 / 1      ," 	 20,000       ", 	 6            ,0," 	 6,720,000    ", 	 0          
6, Arrays.sort                    , 	 / 1      ," 	 20,000       ", 	 12           ,0," 	 12,281,000   "," 	 89,200     "
7, Arrays.parallelSort            , 	 / 1      ," 	 20,000       ", 	 17           ,0," 	 16,425,000   "," 	 80,016     "
8, Linked Hashmap                 , 	 / 1      ," 	 20,000       ", 	 22           ,0," 	 21,962,000   "," 	 1,740,032  "
9, Stream + parallel + sort       , 	 / 1      ," 	 20,000       ", 	 26           ,0," 	 26,465,000   "," 	 -9,997,992 "
10, merge sort                     , 	 / 1      ," 	 30,000       ", 	 17           ,0," 	 16,952,000   ", 	 0          
11, Arrays.sort                    , 	 / 1      ," 	 30,000       ", 	 21           ,0," 	 21,376,000   ", 	 0          
12, Arrays.parallelSort            , 	 / 1      ," 	 30,000       ", 	 21           ,0," 	 20,351,000   "," 	 120,016    "
13, Linked Hashmap                 , 	 / 1      ," 	 30,000       ", 	 18           ,0," 	 17,580,000   "," 	 2,623,488  "
14, Stream + parallel + sort       , 	 / 1      ," 	 30,000       ", 	 44           ,0," 	 44,112,000   "," 	 1,288,592  "
15, merge sort                     , 	 / 1      ," 	 40,000       ", 	 16           ,0," 	 16,066,000   ", 	 0          
16, Arrays.sort                    , 	 / 1      ," 	 40,000       ", 	 31           ,0," 	 31,383,000   "," 	 178,352    "
17, Arrays.parallelSort            , 	 / 1      ," 	 40,000       ", 	 43           ,0," 	 43,239,000   ", 	 0          
18, Linked Hashmap                 , 	 / 1      ," 	 40,000       ", 	 24           ,0," 	 24,035,000   "," 	 3,145,728  "
19, Stream + parallel + sort       , 	 / 1      ," 	 40,000       ", 	 46           ,0," 	 46,308,000   "," 	 1,570,816  "
20, merge sort                     , 	 / 1      ," 	 50,000       ", 	 20           ,0," 	 19,934,000   ", 	 0          
21, Arrays.sort                    , 	 / 1      ," 	 50,000       ", 	 37           ,0," 	 37,028,000   "," 	 589,840    "
22, Arrays.parallelSort            , 	 / 1      ," 	 50,000       ", 	 84           ,0," 	 83,896,000   ", 	 0          
23, Linked Hashmap                 , 	 / 1      ," 	 50,000       ", 	 41           ,0," 	 41,565,000   "," 	 -28,475,024 "
24, Stream + parallel + sort       , 	 / 1      ," 	 50,000       ", 	 43           ,0," 	 43,116,000   "," 	 2,015,456  "
25, merge sort                     , 	 / 1      ," 	 60,000       ", 	 28           ,0," 	 27,862,000   ", 	 0          
26, Arrays.sort                    , 	 / 1      ," 	 60,000       ", 	 162          ,0," 	 162,561,000  ", 	 0          
27, Arrays.parallelSort            , 	 / 1      ," 	 60,000       ", 	 63           ,0," 	 63,091,000   "," 	 240,016    "
28, Linked Hashmap                 , 	 / 1      ," 	 60,000       ", 	 21           ,0," 	 21,463,000   "," 	 5,765,120  "
29, Stream + parallel + sort       , 	 / 1      ," 	 60,000       ", 	 80           ,0," 	 79,604,000   "," 	 2,019,344  "
30, merge sort                     , 	 / 1      ," 	 70,000       ", 	 47           ,0," 	 46,553,000   ", 	 0          
31, Arrays.sort                    , 	 / 1      ," 	 70,000       ", 	 188          ,0," 	 188,662,000  "," 	 336,656    "
32, Arrays.parallelSort            , 	 / 1      ," 	 70,000       ", 	 113          ,0," 	 113,069,000  "," 	 426,320    "
33, Linked Hashmap                 , 	 / 1      ," 	 70,000       ", 	 33           ,0," 	 32,950,000   "," 	 6,813,696  "
34, Stream + parallel + sort       , 	 / 1      ," 	 70,000       ", 	 86           ,0," 	 85,408,000   "," 	 2,278,336  "
35, merge sort                     , 	 / 1      ," 	 80,000       ", 	 32           ,0," 	 31,513,000   "," 	 320,024    "
36, Arrays.sort                    , 	 / 1      ," 	 80,000       ", 	 146          ,0," 	 145,796,000  "," 	 291,104    "
37, Arrays.parallelSort            , 	 / 1      ," 	 80,000       ", 	 67           ,0," 	 66,698,000   "," 	 522,240    "
38, Linked Hashmap                 , 	 / 1      ," 	 80,000       ", 	 56           ,0," 	 56,695,000   "," 	 -13,471,968 "
39, Stream + parallel + sort       , 	 / 1      ," 	 80,000       ", 	 57           ,0," 	 56,704,000   "," 	 2,956,280  "
40, merge sort                     , 	 / 1      ," 	 90,000       ", 	 60           ,0," 	 60,289,000   "," 	 360,024    "
41, Arrays.sort                    , 	 / 1      ," 	 90,000       ", 	 168          ,0," 	 167,878,000  "," 	 311,104    "
42, Arrays.parallelSort            , 	 / 1      ," 	 90,000       ", 	 83           ,0," 	 83,437,000   "," 	 360,016    "
43, Linked Hashmap                 , 	 / 1      ," 	 90,000       ", 	 60           ,0," 	 60,065,000   "," 	 -14,740,480 "
44, Stream + parallel + sort       , 	 / 1      ," 	 90,000       ", 	 104          ,0," 	 104,208,000  "," 	 3,334,760  "
45, merge sort                     , 	 / 1      ," 	 100,000      ", 	 74           ,0," 	 74,110,000   "," 	 400,024    "
46, Arrays.sort                    , 	 / 1      ," 	 100,000      ", 	 176          ,0," 	 175,702,000  "," 	 331,104    "
