 name                           | 	 shuffle  | 	 elements     | 	 duration_ms  | 	 p_duration_s | 	 p_duration_ns | 	 memory     
 ------------------------------ | 	 -------- | 	 ------------ | 	 ------------ | 	 ------------ | 	 ------------ | 	 ----------
 merge sort                     | 	 / 1 (n_const)  | 	 10,000       | 	 49           | 	 0            | 	 46,926,000   | 	 0          
 Arrays.sort                    | 	 / 1 (n_const)  | 	 10,000       | 	 16           | 	 0            | 	 15,738,000   | 	 0          
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 10,000       | 	 38           | 	 0            | 	 38,220,000   | 	 1,079,344  
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 10,000       | 	 12           | 	 0            | 	 12,179,000   | 	 724,192    
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 10,000       | 	 41           | 	 0            | 	 41,528,000   | 	 461,296    
 merge sort                     | 	 / 1 (n_const)  | 	 20,000       | 	 9            | 	 0            | 	 9,673,000    | 	 0          
 Arrays.sort                    | 	 / 1 (n_const)  | 	 20,000       | 	 15           | 	 0            | 	 15,127,000   | 	 72,800     
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 20,000       | 	 13           | 	 0            | 	 12,929,000   | 	 80,016     
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 20,000       | 	 21           | 	 0            | 	 21,159,000   | 	 1,731,824  
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 20,000       | 	 18           | 	 0            | 	 18,243,000   | 	 1,572,864  
 merge sort                     | 	 / 1 (n_const)  | 	 30,000       | 	 13           | 	 0            | 	 12,237,000   | 	 120,024    
 Arrays.sort                    | 	 / 1 (n_const)  | 	 30,000       | 	 18           | 	 0            | 	 17,980,000   | 	 0          
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 30,000       | 	 17           | 	 0            | 	 17,485,000   | 	 120,016    
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 30,000       | 	 9            | 	 0            | 	 9,367,000    | 	 2,623,488  
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 30,000       | 	 41           | 	 0            | 	 40,171,000   | 	 522,240    
 merge sort                     | 	 / 1 (n_const)  | 	 40,000       | 	 14           | 	 0            | 	 13,438,000   | 	 0          
 Arrays.sort                    | 	 / 1 (n_const)  | 	 40,000       | 	 31           | 	 0            | 	 30,522,000   | 	 80,016     
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 40,000       | 	 20           | 	 0            | 	 20,277,000   | 	 0          
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 40,000       | 	 21           | 	 0            | 	 21,023,000   | 	 3,672,064  
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 40,000       | 	 45           | 	 0            | 	 44,950,000   | 	 1,765,280  
 merge sort                     | 	 / 1 (n_const)  | 	 50,000       | 	 15           | 	 0            | 	 14,917,000   | 	 0          
 Arrays.sort                    | 	 / 1 (n_const)  | 	 50,000       | 	 36           | 	 0            | 	 36,490,000   | 	 165,568    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 50,000       | 	 67           | 	 0            | 	 67,253,000   | 	 0          
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 50,000       | 	 45           | 	 0            | 	 45,084,000   | 	 -28,035,808 
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 50,000       | 	 53           | 	 0            | 	 53,019,000   | 	 2,097,152  
 merge sort                     | 	 / 1 (n_const)  | 	 60,000       | 	 19           | 	 0            | 	 18,800,000   | 	 0          
 Arrays.sort                    | 	 / 1 (n_const)  | 	 60,000       | 	 136          | 	 0            | 	 136,024,000  | 	 0          
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 60,000       | 	 44           | 	 0            | 	 43,095,000   | 	 0          
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 60,000       | 	 19           | 	 0            | 	 18,508,000   | 	 5,769,216  
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 60,000       | 	 71           | 	 0            | 	 71,330,000   | 	 1,707,000  
 merge sort                     | 	 / 1 (n_const)  | 	 70,000       | 	 20           | 	 0            | 	 19,817,000   | 	 0          
 Arrays.sort                    | 	 / 1 (n_const)  | 	 70,000       | 	 135          | 	 0            | 	 135,033,000  | 	 140,016    
 Arrays.parallelSort            | 	 / 1 (n_const)  | 	 70,000       | 	 71           | 	 0            | 	 71,034,000   | 	 668,312    
 Linked Hashmap                 | 	 / 1 (n_const)  | 	 70,000       | 	 21           | 	 0            | 	 20,768,000   | 	 6,817,792  
 Stream + parallel + sort       | 	 / 1 (n_const)  | 	 70,000       | 	 87           | 	 0            | 	 87,175,000   | 	 -9,763,328 
