range
10000
2000000
10000	20000	30000	40000	50000	60000	70000	80000	90000	100000	110000	120000	130000	140000	150000	160000	170000	180000	190000	200000	210000	220000	230000	240000	250000	260000	270000	280000	290000	300000	310000	320000	330000	340000	350000	360000	370000	380000	390000	400000	410000	420000	430000	440000	450000	460000	470000	480000	490000	500000	510000	520000	530000	540000	550000	560000	570000	580000	590000	600000	610000	620000	630000	640000	650000	660000	670000	680000	690000	700000	710000	720000	730000	740000	750000	760000	770000	780000	790000	800000	810000	820000	830000	840000	850000	860000	870000	880000	890000	900000	910000	920000	930000	940000	950000	960000	970000	980000	990000	1000000	1010000	1020000	1030000	1040000	1050000	1060000	1070000	1080000	1090000	1100000	1110000	1120000	1130000	1140000	1150000	1160000	1170000	1180000	1190000	1200000	1210000	1220000	1230000	1240000	1250000	1260000	1270000	1280000	1290000	1300000	1310000	1320000	1330000	1340000	1350000	1360000	1370000	1380000	1390000	1400000	1410000	1420000	1430000	1440000	1450000	1460000	1470000	1480000	1490000	1500000	1510000	1520000	1530000	1540000	1550000	1560000	1570000	1580000	1590000	1600000	1610000	1620000	1630000	1640000	1650000	1660000	1670000	1680000	1690000	1700000	1710000	1720000	1730000	1740000	1750000	1760000	1770000	1780000	1790000	1800000	1810000	1820000	1830000	1840000	1850000	1860000	1870000	1880000	1890000	1900000	1910000	1920000	1930000	1940000	1950000	1960000	1970000	1980000	1990000	2000000	------------------
Total Memory: 62,914,560
 Free Memory: 60,817,408
 Max Memory: 1,006,632,960
 name                           | 	 shuffle  | 	 elements     | 	 duration_ms  | 	 p_duration_s | 	 p_duration_ns | 	 memory     
  ------------------------------ | 	 -------- | 	 ------------ | 	 ------------ | 	 ------------ | 	 ------------ | 	 ----------|
 selection                      | 	 / 1      | 	 10,000       | 	 155          | 	 0            | 	 154,097,000  | 	 0          
 insertion                      | 	 / 1      | 	 10,000       | 	 129          | 	 0            | 	 129,629,000  | 	 0          
 bubble                         | 	 / 1      | 	 10,000       | 	 286          | 	 0            | 	 285,993,000  | 	 0          
 shell                          | 	 / 1      | 	 10,000       | 	 186          | 	 0            | 	 186,149,000  | 	 0          
 merge sort                     | 	 / 1      | 	 10,000       | 	 7            | 	 0            | 	 6,533,000    | 	 0          
 Arrays.sort                    | 	 / 1      | 	 10,000       | 	 18           | 	 0            | 	 17,879,000   | 	 36,416     
 Arrays.parallelSort            | 	 / 1      | 	 10,000       | 	 33           | 	 0            | 	 32,128,000   | 	 456,688    
 Linked Hashmap                 | 	 / 1      | 	 10,000       | 	 25           | 	 0            | 	 24,890,000   | 	 724,224    
 Stream + parallel + sort       | 	 / 1      | 	 10,000       | 	 33           | 	 0            | 	 33,037,000   | 	 157,488    
 selection                      | 	 / 1      | 	 20,000       | 	 457          | 	 0            | 	 456,262,000  | 	 0          
 insertion                      | 	 / 1      | 	 20,000       | 	 477          | 	 0            | 	 477,429,000  | 	 0          
 bubble                         | 	 / 1      | 	 20,000       | 	 1,183        | 	 1            | 	 182,872,000  | 	 0          
 shell                          | 	 / 1      | 	 20,000       | 	 702          | 	 0            | 	 701,428,000  | 	 0          
 merge sort                     | 	 / 1      | 	 20,000       | 	 23           | 	 0            | 	 22,826,000   | 	 373,648    
 Arrays.sort                    | 	 / 1      | 	 20,000       | 	 13           | 	 0            | 	 13,398,000   | 	 127,712    
 Arrays.parallelSort            | 	 / 1      | 	 20,000       | 	 23           | 	 0            | 	 22,357,000   | 	 80,016     
 Linked Hashmap                 | 	 / 1      | 	 20,000       | 	 25           | 	 0            | 	 24,938,000   | 	 1,574,912  
 Stream + parallel + sort       | 	 / 1      | 	 20,000       | 	 21           | 	 0            | 	 20,765,000   | 	 1,242,352  
 selection                      | 	 / 1      | 	 30,000       | 	 800          | 	 0            | 	 800,301,000  | 	 0          
 insertion                      | 	 / 1      | 	 30,000       | 	 1,040        | 	 1            | 	 40,662,000   | 	 0          
 bubble                         | 	 / 1      | 	 30,000       | 	 3,596        | 	 3            | 	 595,299,000  | 	 0          
 shell                          | 	 / 1      | 	 30,000       | 	 1,384        | 	 1            | 	 383,922,000  | 	 0          
 merge sort                     | 	 / 1      | 	 30,000       | 	 6            | 	 0            | 	 5,782,000    | 	 0          
 Arrays.sort                    | 	 / 1      | 	 30,000       | 	 24           | 	 0            | 	 23,734,000   | 	 0          
 Arrays.parallelSort            | 	 / 1      | 	 30,000       | 	 14           | 	 0            | 	 13,701,000   | 	 0          
