Total Memory: 60,293,120
 Free Memory: 59,663,832
 Max Memory: 894,959,616
 name                           | 	 shuffle  | 	 elements     | 	 duration_ms  | 	 memory     
 ------------------------------ | 	 -------- | 	 ------------ | 	 ------------ | 	 ---------- 
 selection                      | 	 / 1      | 	 20,000       | 	 454          | 	 3,467,192  
 insertion                      | 	 / 1      | 	 20,000       | 	 232          | 	 4,209,144  
 bubble                         | 	 / 1      | 	 20,000       | 	 1,018        | 	 5,218,448  
 shell                          | 	 / 1      | 	 20,000       | 	 301          | 	 5,927,616  
 merge sort                     | 	 / 1      | 	 20,000       | 	 15           | 	 6,945,112  
 Arrays.sort                    | 	 / 1      | 	 20,000       | 	 31           | 	 7,888,848  
 Arrays.parallelSort            | 	 / 1      | 	 20,000       | 	 58           | 	 9,874,656  
 selection                      | 	 / 2      | 	 20,000       | 	 430          | 	 10,569,376 
 insertion                      | 	 / 2      | 	 20,000       | 	 50           | 	 11,264,096 
 bubble                         | 	 / 2      | 	 20,000       | 	 415          | 	 11,958,816 
 shell                          | 	 / 2      | 	 20,000       | 	 47           | 	 12,653,536 
 merge sort                     | 	 / 2      | 	 20,000       | 	 2            | 	 13,348,256 
 Arrays.sort                    | 	 / 2      | 	 20,000       | 	 5            | 	 14,075,760 
 Arrays.parallelSort            | 	 / 2      | 	 20,000       | 	 5            | 	 14,854,592 
 selection                      | 	 / 1      | 	 200,000      | 	 53,629       | 	 9,872,872  
 insertion                      | 	 / 1      | 	 200,000      | 	 41,823       | 	 17,996,072 
 bubble                         | 	 / 1      | 	 200,000      | 	 135,486      | 	 9,356,312  
 shell                          | 	 / 1      | 	 200,000      | 	 36,154       | 	 5,992,648  
 merge sort                     | 	 / 1      | 	 200,000      | 	 83           | 	 14,864,288 
 Arrays.sort                    | 	 / 1      | 	 200,000      | 	 260          | 	 14,472,216 
 Arrays.parallelSort            | 	 / 1      | 	 200,000      | 	 223          | 	 24,232,088 
 selection                      | 	 / 2      | 	 200,000      | 	 36,459       | 	 16,940,392 
 insertion                      | 	 / 2      | 	 200,000      | 	 7,766        | 	 23,596,200 
 bubble                         | 	 / 2      | 	 200,000      | 	 51,778       | 	 18,854,512 
 shell                          | 	 / 2      | 	 200,000      | 	 9,148        | 	 25,361,440 
 merge sort                     | 	 / 2      | 	 200,000      | 	 29           | 	 31,937,960 
 Arrays.sort                    | 	 / 2      | 	 200,000      | 	 107          | 	 22,235,544 
 Arrays.parallelSort            | 	 / 2      | 	 200,000      | 	 112          | 	 30,348,744 

 name                           | 	 shuffle  | 	 elements     | 	 duration_ms  | 	 memory     
 ------------------------------ | 	 -------- | 	 ------------ | 	 ------------ | 	 ---------- 
 selection                      | 	 / 1      | 	 20,000       | 	 451          | 	 3,464,696  
 insertion                      | 	 / 1      | 	 20,000       | 	 228          | 	 4,206,648  
 bubble                         | 	 / 1      | 	 20,000       | 	 998          | 	 5,215,952  
 shell                          | 	 / 1      | 	 20,000       | 	 284          | 	 5,925,136  
 merge sort                     | 	 / 1      | 	 20,000       | 	 14           | 	 6,942,632  
 Arrays.sort                    | 	 / 1      | 	 20,000       | 	 26           | 	 7,886,368  
 Arrays.parallelSort            | 	 / 1      | 	 20,000       | 	 34           | 	 9,888,576  
 Stream + parallel + sort       | 	 / 1      | 	 20,000       | 	 56           | 	 11,527,016 
 selection                      | 	 / 2      | 	 20,000       | 	 432          | 	 12,236,200 
 insertion                      | 	 / 2      | 	 20,000       | 	 52           | 	 12,945,384 
 bubble                         | 	 / 2      | 	 20,000       | 	 413          | 	 13,687,352 
 shell                          | 	 / 2      | 	 20,000       | 	 45           | 	 14,316,520 
 merge sort                     | 	 / 2      | 	 20,000       | 	 1            | 	 15,025,704 
 Arrays.sort                    | 	 / 2      | 	 20,000       | 	 4            | 	 15,728,640 
 Arrays.parallelSort            | 	 / 2      | 	 20,000       | 	 7            | 	 2,202,920  
 Stream + parallel + sort       | 	 / 2      | 	 20,000       | 	 15           | 	 3,893,616  
 selection                      | 	 / 1      | 	 200,000      | 	 59,766       | 	 12,229,568 
 insertion                      | 	 / 1      | 	 200,000      | 	 51,479       | 	 9,960,992  
 bubble                         | 	 / 1      | 	 200,000      | 	 156,843      | 	 18,224,064 
 shell                          | 	 / 1      | 	 200,000      | 	 45,104       | 	 13,541,472 
 merge sort                     | 	 / 1      | 	 200,000      | 	 138          | 	 22,562,296 
 Arrays.sort                    | 	 / 1      | 	 200,000      | 	 494          | 	 19,643,272 
 Arrays.parallelSort            | 	 / 1      | 	 200,000      | 	 465          | 	 17,234,048 
 Stream + parallel + sort       | 	 / 1      | 	 200,000      | 	 200          | 	 24,569,248 
 selection                      | 	 / 2      | 	 200,000      | 	 46,025       | 	 31,187,032 
 insertion                      | 	 / 2      | 	 200,000      | 	 12,828       | 	 28,078,816 
 bubble                         | 	 / 2      | 	 200,000      | 	 52,124       | 	 34,713,992 
 shell                          | 	 / 2      | 	 200,000      | 	 9,068        | 	 28,428,408 
 merge sort                     | 	 / 2      | 	 200,000      | 	 25           | 	 35,064,392 
 Arrays.sort                    | 	 / 2      | 	 200,000      | 	 109          | 	 32,162,696 
 Arrays.parallelSort            | 	 / 2      | 	 200,000      | 	 123          | 	 40,634,136 
 Stream + parallel + sort       | 	 / 2      | 	 200,000      | 	 167          | 	 40,205,808 
