Total Memory: 60,293,120
 Free Memory: 59,663,832
 Max Memory: 894,959,616
 name                           | 	 shuffle  | 	 elements     | 	 duration_ms  | 	 p_duration_s | 	 p_duration_ns | 	 memory     
  ------------------------------ | 	 -------- | 	 ------------ | 	 ------------ | 	 ------------ | 	 ------------ | 	 ----------|
 selection                      | 	 / 1      | 	 200,000      | 	 55,523       | 	 55           | 	 523,000,000  | 	 10,713,680 
 insertion                      | 	 / 1      | 	 200,000      | 	 26,644       | 	 26           | 	 644,000,000  | 	 9,063,248  
 bubble                         | 	 / 1      | 	 200,000      | 	 135,603      | 	 135          | 	 603,000,000  | 	 17,152,344 
 shell                          | 	 / 1      | 	 200,000      | 	 28,109       | 	 28           | 	 109,000,000  | 	 11,167,224 
 merge sort                     | 	 / 1      | 	 200,000      | 	 90           | 	 0            | 	 90,000,000   | 	 20,425,216 
 Arrays.sort                    | 	 / 1      | 	 200,000      | 	 243          | 	 0            | 	 243,000,000  | 	 17,699,032 
 Arrays.parallelSort            | 	 / 1      | 	 200,000      | 	 169          | 	 0            | 	 169,000,000  | 	 14,740,856 
 Linked Hashmap                 | 	 / 1      | 	 200,000      | 	 127          | 	 0            | 	 127,000,000  | 	 34,163,488 
 Stream + parallel + sort       | 	 / 1      | 	 200,000      | 	 321          | 	 0            | 	 321,000,000  | 	 39,017,416 
 selection                      | 	 / 2      | 	 200,000      | 	 55,626       | 	 55           | 	 626,000,000  | 	 45,894,448 
 insertion                      | 	 / 2      | 	 200,000      | 	 7,913        | 	 7            | 	 913,000,000  | 	 52,416,672 
 bubble                         | 	 / 2      | 	 200,000      | 	 60,022       | 	 60           | 	 22,000,000   | 	 29,861,632 
 shell                          | 	 / 2      | 	 200,000      | 	 6,783        | 	 6            | 	 783,000,000  | 	 36,786,240 
 merge sort                     | 	 / 2      | 	 200,000      | 	 23           | 	 0            | 	 23,000,000   | 	 43,579,760 
 Arrays.sort                    | 	 / 2      | 	 200,000      | 	 150          | 	 0            | 	 150,000,000  | 	 50,429,456 
 Arrays.parallelSort            | 	 / 2      | 	 200,000      | 	 160          | 	 0            | 	 160,000,000  | 	 32,256,624 
 Linked Hashmap                 | 	 / 2      | 	 200,000      | 	 36           | 	 0            | 	 36,000,000   | 	 57,817,656 
 Stream + parallel + sort       | 	 / 2      | 	 200,000      | 	 76           | 	 0            | 	 76,000,000   | 	 70,858,008 
 selection                      | 	 / 3      | 	 200,000      | 	 30,760       | 	 30           | 	 760,000,000  | 	 77,346,184 
 insertion                      | 	 / 3      | 	 200,000      | 	 3,739        | 	 3            | 	 738,000,000  | 	 83,483,192 
 bubble                         | 	 / 3      | 	 200,000      | 	 27,129       | 	 27           | 	 129,000,000  | 	 89,620,200 
 shell                          | 	 / 3      | 	 200,000      | 	 4,145        | 	 4            | 	 145,000,000  | 	 32,415,176 
 merge sort                     | 	 / 3      | 	 200,000      | 	 19           | 	 0            | 	 19,000,000   | 	 38,859,216 
 Arrays.sort                    | 	 / 3      | 	 200,000      | 	 50           | 	 0            | 	 50,000,000   | 	 44,960,928 
 Arrays.parallelSort            | 	 / 3      | 	 200,000      | 	 70           | 	 0            | 	 70,000,000   | 	 54,127,856 
 Linked Hashmap                 | 	 / 3      | 	 200,000      | 	 73           | 	 0            | 	 73,000,000   | 	 78,606,888 
 Stream + parallel + sort       | 	 / 3      | 	 200,000      | 	 51           | 	 0            | 	 51,000,000   | 	 36,310,936 
